Designator,Mid X,Mid Y,Rotation,Layer
C1,93.72,-59.56,90.0,bottom
C2,91.21,-59.555,90.0,bottom
C3,87.23,-56.93,0.0,bottom
C4,86.15,-49.49,0.0,bottom
C5,93.38,-116.49,0.0,bottom
D1,43.18,-41.63,90.0,bottom
D10,62.23,-79.73,90.0,bottom
D11,81.28,-79.73,90.0,bottom
D12,43.18,-98.78,90.0,bottom
D13,62.23,-98.78,90.0,bottom
D14,81.28,-98.78,90.0,bottom
D15,100.33,-108.305,90.0,bottom
D16,52.705,-117.83,90.0,bottom
D17,81.28,-117.83,90.0,bottom
D2,62.23,-41.63,90.0,bottom
D3,84.54,-43.1375,90.0,bottom
D4,100.33,-41.63,90.0,bottom
D5,43.18,-60.68,90.0,bottom
D6,62.23,-60.68,90.0,bottom
D7,81.28,-60.68,90.0,bottom
D8,100.33,-70.205,90.0,bottom
D9,43.18,-79.73,90.0,bottom
J1,66.68,-30.91,180.0,bottom
J2,103.17,-52.82,180.0,bottom
J3,103.31,-88.295,0.0,top
R1,60.56,-34.53,90.0,bottom
R2,72.79,-34.53,270.0,bottom
R3,87.98,-59.35,270.0,bottom
R4,86.48,-59.35,270.0,bottom
R5,97.56,-116.49,0.0,bottom
R7,99.8425,-88.27,0.0,top
SW1,38.1,-35.935,0.0,top
SW10,57.15,-74.035,0.0,top
SW11,76.2,-74.035,0.0,top
SW12,38.1,-93.085,0.0,top
SW13,57.15,-93.085,0.0,top
SW14,76.2,-93.085,0.0,top
SW15,95.25,-102.61,0.0,top
SW16,47.625,-112.135,0.0,top
SW17,76.2,-112.135,0.0,top
SW18,95.4,-120.74,0.0,top
SW2,54.985,-38.1,90.0,top
SW3,76.2,-40.265,180.0,top
SW4,95.25,-35.935,0.0,top
SW5,38.1,-54.985,0.0,top
SW6,57.15,-54.985,0.0,top
SW7,76.2,-54.985,0.0,top
SW8,95.25,-64.51,0.0,top
SW9,38.1,-74.035,0.0,top
U1,90.96,-52.1,180.0,bottom
U2,66.66,-39.9125,90.0,bottom
Y1,92.45,-56.74,180.0,bottom
